N,gradiente_FLOPS_AVX,residuo_FLOPS_AVX
32,1822.2461,1245.1017
64,1524.9571,1277.5487
128,1324.5247,1277.7521
256,1173.6566,1150.1667
512,1033.8332,994.1920
1000,980.1057,980.0815
2000,948.0753,935.3414
4000,943.8879,940.7887
8000,933.8437,935.1057
9000,932.2817,936.7210
10000,932.4555,934.9769
20000,0,0
