N,gradiente_L3,residuo_L3
32,5139.2909,43781.2048
64,2014.9757,26301.4235
128,2297.8404,15569.2870
256,9727.2639,11334.4907
512,9019.5423,13373.0077
1000,14219.7689,15528.5445
2000,15145.3833,15279.9166
4000,15089.2443,15104.9721
8000,15886.6565,15051.2440
9000,17769.0673,16413.8352
10000,15923.3060,16235.3064
20000,0,0
