N,gradiente_L2CACHE,residuo_L2CACHE
32,0.3541,0.3065
64,0.3224,0.3007
128,0.2946,0.2953
256,0.0798,0.2976
512,0.0468,0.3135
1000,0.0674,0.3243
2000,0.1578,0.3639
4000,0.2259,0.3779
8000,0.2721,0.3676
9000,0.2916,0.3816
10000,0.2993,0.3766
20000,0.3333,0.2477
