N,Tempo_Gradiente_ms,Tempo_Residuo_ms
32,0.00052043989,0.0005370006
64,0.00102644,0.00083599985
128,0.0021418801,0.0014519989
256,0.0074255601,0.0045609996
512,0.01673072,0.0084850006
1000,0.03151848,0.016485002
2000,0.05899696,0.032473002
4000,0.11872676,0.064959001
8000,0.24907512,0.132
9000,0.1543564,0.082215998
10000,0.15290748,0.080181003
20000,0.31946192,0.155287
