N,gradiente_FLOPS_DP,residuo_FLOPS_DP
32,795.9740,319.6490
64,2599.0909,1165.4458
128,2525.7923,1405.4313
256,1001.0029,663.8788
512,2449.0780,1990.7790
1000,2795.3495,2337.3651
2000,1212.3998,968.2633
4000,2459.3536,2091.7877
8000,2856.0904,2466.3863
9000,2957.7166,2523.5666
10000,1680.9664,1517.5258
20000,2060.5957,1889.8519
